ID,Groups,Tasks,Acc,Eff,Java,Vulns,Perc
R_2atpanWlsIEAwEv,4,Injection,0.2,0.02251,2.0,1.5,1.8
R_2atpanWlsIEAwEv,4,XSS,0.0,0.0,2.0,1.5,2.0
R_2atpanWlsIEAwEv,4,DoS,0.33333,0.02251,2.0,1.5,2.0
R_3MDzkSHSKJd2ZCx,6,Path,0.0,0.0,0.5,1.0,2.4
R_3MDzkSHSKJd2ZCx,6,Injection,0.0,0.0,0.5,1.0,2.8
R_3MDzkSHSKJd2ZCx,6,XSS,0.0,0.0,0.5,1.0,2.8
R_3MDzkSHSKJd2ZCx,6,DoS,0.0,0.0,0.5,1.0,3.2
R_vJn9S8pKtWxEzWp,2,Path,0.0,0.0,1.5,0.5,2.2
R_vJn9S8pKtWxEzWp,2,Injection,0.4,0.04298,1.5,0.5,2.2
R_vJn9S8pKtWxEzWp,2,XSS,0.0,0.0,1.5,0.5,2.2
R_vJn9S8pKtWxEzWp,2,DoS,0.0,0.0,1.5,0.5,1.8
R_2VOy34WzkAVb8EH,1,Path,0.0,0.0,1.5,1.5,2.0
R_2VOy34WzkAVb8EH,1,Injection,0.2,0.0267,1.5,1.5,2.6
R_2VOy34WzkAVb8EH,1,XSS,0.0,0.0,1.5,1.5,2.6
R_2VOy34WzkAVb8EH,1,DoS,0.0,0.0,1.5,1.5,2.6
R_2czsrX2vGnwNBTw,6,Path,0.0,0.0,1.0,1.0,2.2
R_2czsrX2vGnwNBTw,6,Injection,0.0,0.0,1.0,1.0,2.0
R_2czsrX2vGnwNBTw,6,XSS,0.0,0.0,1.0,1.0,2.6
R_2czsrX2vGnwNBTw,6,DoS,0.0,0.0,1.0,1.0,1.8
R_1l0LUMxjnkFEQCn,5,Path,0.15385,0.04769,3.0,1.5,2.8
R_1l0LUMxjnkFEQCn,5,Injection,0.2,0.02384,3.0,1.5,3.0
R_1l0LUMxjnkFEQCn,5,XSS,0.25,0.02384,3.0,1.5,3.0
R_1l0LUMxjnkFEQCn,5,DoS,0.0,0.0,3.0,1.5,2.4
R_1Kvatmhe3zhnSth,3,Path,0.30769,0.08891,1.0,1.0,2.6
R_1Kvatmhe3zhnSth,3,Injection,0.6,0.06668,1.0,1.0,2.8
R_1Kvatmhe3zhnSth,3,XSS,0.0,0.0,1.0,1.0,2.0
R_1Kvatmhe3zhnSth,3,DoS,0.66667,0.04445,1.0,1.0,1.8
R_2t3cbjlrqR5PDgY,3,Path,0.0,0.0,0.5,1.0,1.4
R_2t3cbjlrqR5PDgY,3,Injection,0.2,0.0211,0.5,1.0,1.4
R_2t3cbjlrqR5PDgY,3,XSS,0.0,0.0,0.5,1.0,1.4
R_2t3cbjlrqR5PDgY,3,DoS,0.0,0.0,0.5,1.0,1.4
R_DItauU6CBCrfciZ,4,Path,0.0,0.0,2.5,0.5,1.8
R_DItauU6CBCrfciZ,4,Injection,0.0,0.0,2.5,0.5,1.8
R_DItauU6CBCrfciZ,4,XSS,0.25,0.02304,2.5,0.5,1.8
R_DItauU6CBCrfciZ,4,DoS,0.0,0.0,2.5,0.5,1.8
R_21bSXxGzUxO7xsY,4,Path,0.0,0.0,1.5,1.5,1.0
R_21bSXxGzUxO7xsY,4,Injection,0.0,0.0,1.5,1.5,1.0
R_21bSXxGzUxO7xsY,4,XSS,0.25,0.02228,1.5,1.5,1.0
R_21bSXxGzUxO7xsY,4,DoS,0.0,0.0,1.5,1.5,1.0
R_2Bye7BGXEea1w4F,3,Path,0.07692,0.02056,1.5,1.0,1.8
R_2Bye7BGXEea1w4F,3,Injection,0.2,0.02056,1.5,1.0,2.0
R_2Bye7BGXEea1w4F,3,XSS,0.0,0.0,1.5,1.0,1.4
R_2Bye7BGXEea1w4F,3,DoS,0.0,0.0,1.5,1.0,1.4
R_1mR9mw0JhcUID7q,4,Path,0.07692,0.02171,1.5,1.0,1.8
R_1mR9mw0JhcUID7q,4,Injection,0.0,0.0,1.5,1.0,1.8
R_1mR9mw0JhcUID7q,4,XSS,0.0,0.0,1.5,1.0,1.8
R_1mR9mw0JhcUID7q,4,DoS,0.0,0.0,1.5,1.0,1.8
R_2dsCthTiQ8gNjOW,6,Path,0.0,0.0,1.0,1.5,3.0
R_2dsCthTiQ8gNjOW,6,Injection,0.0,0.0,1.0,1.5,2.6
R_2dsCthTiQ8gNjOW,6,XSS,0.0,0.0,1.0,1.5,3.0
R_2dsCthTiQ8gNjOW,6,DoS,0.0,0.0,1.0,1.5,2.2
R_3NKwGiLHYVMr4ny,1,Path,0.23077,0.05685,3.5,2.0,3.0
R_3NKwGiLHYVMr4ny,1,Injection,0.6,0.05685,3.5,2.0,3.0
R_3NKwGiLHYVMr4ny,1,XSS,0.0,0.0,3.5,2.0,2.6
R_3NKwGiLHYVMr4ny,1,DoS,0.33333,0.01895,3.5,2.0,2.4
R_3maQy7at9ZfUwFa,1,Path,0.0,0.0,1.5,2.0,2.2
R_3maQy7at9ZfUwFa,1,Injection,0.2,0.02013,1.5,2.0,2.2
R_3maQy7at9ZfUwFa,1,XSS,0.0,0.0,1.5,2.0,2.2
R_3maQy7at9ZfUwFa,1,DoS,0.0,0.0,1.5,2.0,2.2
R_1g8yrJ8Wvdxbhzh,4,Path,0.0,0.0,1.5,1.0,2.4
R_1g8yrJ8Wvdxbhzh,4,Injection,0.0,0.0,1.5,1.0,1.8
R_1g8yrJ8Wvdxbhzh,4,XSS,0.25,0.02086,1.5,1.0,2.0
R_1g8yrJ8Wvdxbhzh,4,DoS,0.0,0.0,1.5,1.0,1.8
R_3k7KYUeK9efTGTC,1,Path,0.07692,0.02004,1.0,1.0,2.8
